,GSM2356843,GSM2356844,GSM2356845,GSM2356846,GSM2356847,GSM2356848,GSM2356849,GSM2356850,GSM2356851,GSM2356852,GSM2356853,GSM2356854,GSM2356855,GSM2356856,GSM2356857,GSM2356858,GSM2356859
Tff2,4.46564235294118,4.46099588235294,4.48473705882353,4.26806352941176,4.38938117647059,4.47883941176471,4.4009,4.60019705882353,4.58653176470588,4.36124529411765,4.67343470588235,4.35616294117647,4.35042970588235,4.56075117647059,4.40424470588235,4.66317117647059,4.73281647058823
Rcn2,10.3302294117647,10.3053235294118,10.3425176470588,10.2299588235294,10.4172588235294,10.3387470588235,10.3393470588235,10.3689705882353,10.3383470588235,10.4954470588235,10.3444235294118,10.4591176470588,10.3698058823529,10.3213647058824,10.0638288235294,10.4372470588235,10.4843235294118
Ctnnd1,7.22766705882353,7.16648676470588,7.06363529411765,7.71043,7.81960058823529,7.69376588235294,6.96067882352941,7.21335470588235,6.96803058823529,7.55435676470588,7.33572235294118,7.33601176470588,7.12379588235294,7.2733,6.41665882352941,7.70649411764706,7.55098764705882
Mrps21,9.12993764705882,9.07752,9.13043764705882,9.28946294117647,9.29173823529412,9.41769882352941,9.26892352941177,9.13321470588235,9.26418470588235,9.23548764705882,9.09292411764706,9.20348529411765,9.12524176470588,9.14653647058823,9.29400823529412,8.94146058823529,8.99633235294118
Bag3,7.03950117647059,7.42101823529412,6.94805705882353,9.55351411764706,9.65216764705882,9.4190605882353,6.77807352941177,6.51240176470588,6.82366823529412,9.35867764705882,9.75379117647059,9.66341470588235,7.02073588235294,6.89666235294118,6.48836235294118,9.10941647058823,8.79248647058824
Prpf8,10.3490647058824,10.3377705882353,10.3728264705882,10.0549094117647,10.1960294117647,9.97029147058824,10.2390823529412,10.2408764705882,10.2765882352941,10.3387470588235,10.1621352941176,10.3101705882353,10.26935,10.3069,10.1533235294118,10.3698058823529,10.3937647058824
Krt13,2.67238470588235,2.51575823529412,2.63374352941176,2.78844647058824,2.37874470588235,2.47073352941176,2.37349941176471,2.51729411764706,2.48295058823529,2.51279441176471,2.33457941176471,2.71586823529412,2.33684117647059,2.51875705882353,2.46955529411765,2.41647882352941,2.36939441176471
Nsf,11.2171941176471,11.2709470588235,11.3572529411765,10.9637941176471,10.7858823529412,10.8309764705882,11.3053529411765,11.3917411764706,11.4704176470588,10.6885117647059,10.5836352941176,10.7375823529412,11.3797,11.3933941176471,11.4084823529412,9.93023705882353,10.1602352941176
Sumo3,10.6580294117647,10.6085411764706,10.6515529411765,10.5819235294118,10.6055470588235,10.5270411764706,10.5910352941176,10.5300823529412,10.6064411764706,10.7115588235294,10.5705470588235,10.7889058823529,10.5133294117647,10.5996941176471,10.5270411764706,10.7194882352941,10.6438117647059
Tcl1,3.13363647058824,3.14652735294118,3.31554352941176,3.02322882352941,3.12130294117647,3.25880823529412,3.37432235294118,3.29186029411765,2.86296352941176,3.19869411764706,2.99627764705882,2.98992764705882,3.33185823529412,3.18372,3.17888176470588,3.26275941176471,3.32770705882353
Psmd13,8.12187058823529,8.12796529411765,8.15362,8.12867941176471,8.13346470588235,8.11389176470588,8.14570058823529,8.15283411764706,8.17563470588235,8.25298823529412,8.24155764705882,8.14876411764706,8.12352470588235,8.13710529411765,8.45015588235294,8.71184647058823,8.59737352941177
