,GSM2356843,GSM2356844,GSM2356845,GSM2356849,GSM2356850,GSM2356851,GSM2356855,GSM2356856,GSM2356857,GSM2356846,GSM2356847,GSM2356848,GSM2356852,GSM2356853,GSM2356854,GSM2356858,GSM2356859
ARL10,3.562607059,3.642042353,3.999542353,4.056084118,4.275742353,4.149844118,3.749164118,3.820898824,4.238145294,4.143669412,3.418968235,3.157275882,3.960839412,3.458849412,3.755404118,2.979426471,2.88055
ARL14EP,6.376071176,6.706433529,6.485194118,6.422459412,6.467498235,6.595129412,6.415981176,6.397411765,6.449873529,7.876820588,7.792575882,7.75504,7.523226471,7.778398824,7.717334118,7.563851176,7.291561765
ARL16,4.857734706,4.882774706,4.820520588,5.2517,4.686767059,5.243974706,5.021538235,4.920421176,4.961716471,5.086398824,4.983818824,4.962185294,5.200817059,4.992533529,5.287221176,5.203613235,4.81351
ARL2,7.470162353,7.723974118,7.787056471,7.759322941,7.86762,7.948684118,7.998421765,7.71914,8.074678235,8.029582353,7.842145882,7.944272941,8.248515882,8.346937059,8.226610588,7.486855882,7.489665882
ARL2BP,6.21437,6.264701176,6.549304118,6.286641765,6.211787059,6.579213529,6.216427059,6.304030588,6.463198824,7.060118235,7.090248824,7.074584706,6.710726471,7.039869412,6.719425,6.148371765,6.473559412
ARL3,10.37962941,10.25315294,10.24536176,10.27876471,10.2516,10.19436471,10.26501176,10.28301176,10.31269412,10.04430471,10.00955706,10.09879706,10.07603059,10.03064118,10.02609588,10.04430471,10.18587059
ARL4A,4.241344706,4.195272353,4.168538235,4.143051176,4.083340588,3.944461765,4.645560294,4.461835882,4.330404706,4.243162941,4.425446471,4.168712059,4.139154706,4.074282941,4.127548824,3.681797059,3.895224118
ARL4C,2.806953529,2.675988824,2.846574118,2.677961765,2.856696471,2.776826471,2.763248235,2.683270882,3.059309118,2.811353529,2.595805882,2.741085882,2.565539412,2.978769412,2.764971765,2.554063529,2.717591176
ARL4D,7.275877059,7.191835882,7.494875294,7.397197647,7.569283529,7.562125294,7.523630588,7.492908824,7.797893529,7.202874706,7.054004706,7.178054118,7.082487647,7.116947647,7.303477647,6.997495294,7.404318235
ARL5A,8.702724706,8.646407059,8.838983529,8.70596,8.640976471,8.717483529,8.813372353,8.828470588,8.788544118,8.630502941,8.735376471,8.649861765,8.468973529,8.431390588,8.524578529,8.397841765,8.453285294
ARL6,9.975254118,10.00770176,9.950525294,9.920670294,9.977058235,9.915101176,10.07961235,10.02048471,9.971075882,9.879871176,9.984304706,9.907695294,9.936001176,9.937954118,9.920487647,10.17632353,10.04356941
ARL6IP1,10.80064706,10.79431765,10.71648824,10.86667647,10.84995294,10.83362353,10.72717647,10.75352353,10.87998824,10.83008235,10.86325294,10.88845882,10.87067647,10.85657059,10.82235882,11.02096471,10.98023529
ARL6IP4,4.613083529,4.46791,4.316620588,4.343818235,3.989669412,4.141512941,4.420967059,4.150792353,4.145025882,4.365441765,4.558357059,4.519828824,4.541111176,4.53686,4.704386471,4.440887059,4.731678824
ARL6IP5,6.891905882,6.994192941,6.853110588,7.048054118,7.319168824,7.119728529,7.332878824,7.085391765,7.162305882,6.973167647,6.810538235,6.860669412,7.080411176,6.825188824,7.089638824,7.420838824,7.178604118
ARL6IP6,7.409434706,7.376527059,7.718738824,7.063301765,6.904645294,7.098604706,6.434832353,6.748314706,6.685853529,9.313889412,9.019305294,9.268518824,8.616993529,8.538436471,8.580352353,7.614308235,7.590467353
