id,GSM2356843,GSM2356844,GSM2356845,GSM2356846,GSM2356847,GSM2356848,GSM2356849,GSM2356850,GSM2356851,GSM2356852,GSM2356853,GSM2356854,GSM2356855,GSM2356856,GSM2356857,GSM2356858,GSM2356859
CHRM1,4.909960588,4.988661176,4.999544118,4.829028235,4.831621176,5.210092353,5.198222353,5.010186471,4.979089412,4.76172,4.716225882,4.866867647,4.976092353,4.935123529,5.287533529,4.900140588,5.0344
CHRM3,10.38423529,10.35862353,10.30574118,10.07250882,10.04516235,10.24028235,10.16380294,10.06996412,10.08122941,9.694321176,9.758035,9.927385882,10.40700588,10.41107647,10.08253529,9.651109412,9.816592941
CHRNA4,4.678681176,4.087476471,4.417652941,4.248688824,4.868747941,4.063265882,4.80799,4.303789412,4.133105882,4.679084118,4.055661765,4.193108235,4.100793529,4.377624118,4.016811176,3.700578824,4.467481176
CHRNA7,,,,,,,,,,,,,,,,,
CHRNB1,3.82011,3.949744706,3.703490588,3.681797059,3.829714118,3.817812941,3.760384706,3.760627059,3.798669412,3.963013529,3.872699412,3.782254412,3.812434706,3.776915882,3.67518,4.826783529,4.059249412
CHUK,4.652215294,4.639042941,4.634770588,4.403911765,4.243631176,4.624885882,4.542235294,4.425153529,4.743855882,4.376136471,4.778537059,4.374734118,4.573327647,4.458965294,4.328177059,4.669892353,4.65011
CNR1,2.621327059,2.707386176,2.676177647,2.518757059,3.082045882,2.568741176,3.062153235,2.749897647,2.829519706,2.769843529,2.864154118,2.621697059,2.333982353,2.751814118,2.725647647,2.820394706,2.546542941
CPT1A,5.808212353,5.765610588,5.751012941,5.690007647,5.833825294,6.152272941,5.720425882,5.552181765,5.716917647,6.052094118,6.189545882,5.926754412,5.763530882,5.390005294,6.109745882,5.878931176,5.78634
CREBBP,4.049353235,4.016606471,4.123905882,3.756905882,3.993440588,3.944987647,3.935392353,3.920067647,3.975532941,3.879695294,4.050690588,3.698059412,4.04354,4.198385294,3.836580588,4.226371176,4.055951765
CSNK2A1,6.219535294,6.158665882,6.327490588,6.018264706,6.177900588,6.26227,6.070870588,6.239538529,6.209852941,5.869365294,5.917627941,5.921794118,6.187263529,6.259151176,6.246905882,6.241038235,6.206341176
CSNK2A2,7.035921765,6.906221176,7.010950588,6.918879412,7.012488529,6.922179412,7.045678824,6.866277059,6.880935882,6.884352353,7.003398235,6.738348235,7.023981176,7.034609412,6.767742941,7.187173529,6.988101765
CYP1B1,8.752804706,8.873292353,8.970231176,8.603787647,8.606341765,8.721065882,8.911258824,8.889371765,9.035420588,8.734237647,8.595482941,8.519095294,9.007251765,8.917134706,8.999136471,8.675772353,8.759182941
DAPK1,2.952539412,2.900057059,2.766231765,2.790714118,2.933664706,3.011142059,2.917593529,2.977365294,2.820845882,3.017629412,3.060947647,2.666565882,2.778101176,2.658768235,3.138402353,2.717345294,2.713518824
DHODH,2.75895,2.744934118,2.778511765,2.734518824,2.970462941,2.701541765,2.876825882,2.978155882,2.704512647,2.769843529,2.689005294,2.422894118,2.751649412,2.694929412,2.936674706,2.848193529,2.797067059
EGFR,8.449364118,8.524670588,8.400992941,8.467947647,8.435675294,8.361028824,8.421934118,8.442194118,8.486206471,8.506817059,8.645033529,8.555365882,8.448941176,8.496302353,8.641993529,9.049607647,8.993005882
EIF2AK3,3.724787647,4.189789412,4.192544118,4.159839412,3.963658824,3.959082353,4.09157,4.144855882,4.120485882,3.889711176,3.982709412,4.182222941,3.960394118,4.044022353,3.941584118,4.728834118,4.214097941
